"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes"
"1","tt0022958","movie","grand-hotel","grand-hotel",0,1932,"\N",112,"Drama,Romance",7.4,18773
"2","tt0025316","movie","it-happened-one-night","it-happened-one-night",0,1934,"\N",105,"Comedy,Romance",8.1,100755
"3","tt0031725","movie","ninotchka","ninotchka",0,1939,"\N",110,"Comedy,Romance",7.9,20622
"4","tt0044907","movie","les-miserables","les-miserables",0,1952,"\N",105,"Adventure,Drama,History",6.8,1043
"5","tt0061418","movie","bonnie-and-clyde","bonnie-and-clyde",0,1967,"\N",111,"Action,Biography,Crime",7.8,109805
"6","tt0071571","movie","gone-in-60-seconds","gone-in-60-seconds",0,1974,"\N",105,"Action,Crime,Drama",6.4,8927
"7","tt0075314","movie","taxi-driver","taxi-driver",0,1976,"\N",114,"Crime,Drama",8.2,780903
"8","tt0078788","movie","apocalypse-now","apocalypse-now",0,1979,"\N",147,"Drama,Mystery,War",8.4,642214
"9","tt0080745","movie","flash-gordon","flash-gordon",0,1980,"\N",111,"Action,Adventure,Sci-Fi",6.5,54961
"10","tt0082198","movie","conan-the-barbarian","conan-the-barbarian",0,1982,"\N",129,"Action,Adventure,Fantasy",6.9,144978
"11","tt0083658","movie","blade-runner","blade-runner",0,1982,"\N",117,"Action,Drama,Sci-Fi",8.1,738397
"12","tt0084827","movie","tron","tron",0,1982,"\N",96,"Action,Adventure,Sci-Fi",6.8,118590
"13","tt0087182","movie","dune","dune",0,1984,"\N",137,"Action,Adventure,Sci-Fi",6.4,157075
"14","tt0087469","movie","indiana-jones-and-the-temple-of-doom","indiana-jones-and-the-temple-of-doom",0,1984,"\N",118,"Action,Adventure",7.5,472780
"15","tt0088206","movie","supergirl","supergirl",0,1984,"\N",124,"Action,Adventure,Fantasy",4.4,21649
"16","tt0088936","movie","code-of-silence","code-of-silence",0,1985,"\N",101,"Action,Crime,Drama",6.1,7796
"17","tt0088944","movie","commando","commando",0,1985,"\N",90,"Action,Adventure,Thriller",6.7,155836
"18","tt0093565","movie","moonstruck","moonstruck",0,1987,"\N",102,"Comedy,Drama,Romance",7.1,57177
"19","tt0093773","movie","predator","predator",0,1987,"\N",107,"Action,Adventure,Horror",7.8,394624
"20","tt0095016","movie","die-hard","die-hard",0,1988,"\N",132,"Action,Thriller",8.2,847430
"21","tt0096320","movie","twins","twins",0,1988,"\N",107,"Comedy,Crime",6.1,121260
"22","tt0096438","movie","who-framed-roger-rabbit","who-framed-roger-rabbit",0,1988,"\N",104,"Adventure,Animation,Comedy",7.7,194373
"23","tt0096446","movie","willow","willow",0,1988,"\N",126,"Action,Adventure,Drama",7.3,109278
"24","tt0096895","movie","batman","batman",0,1989,"\N",126,"Action,Adventure",7.5,359247
"25","tt0096933","movie","black-rain","black-rain",0,1989,"\N",125,"Action,Crime,Thriller",6.7,53204
"26","tt0097576","movie","indiana-jones-and-the-last-crusade","indiana-jones-and-the-last-crusade",0,1989,"\N",127,"Action,Adventure",8.2,729644
"27","tt0100260","movie","nightbreed","nightbreed",0,1990,"\N",102,"Action,Fantasy,Horror",6.5,22261
"28","tt0100935","movie","wild-at-heart","wild-at-heart",0,1990,"\N",125,"Comedy,Crime,Drama",7.2,90641
"29","tt0101393","movie","backdraft","backdraft",0,1991,"\N",137,"Action,Crime,Drama",6.7,77836
"30","tt0102070","movie","hudson-hawk","hudson-hawk",0,1991,"\N",100,"Action,Adventure,Comedy",5.8,55492
"31","tt0102685","movie","point-break","point-break",0,1991,"\N",122,"Action,Crime,Thriller",7.3,174322
"32","tt0104073","movie","deep-cover","deep-cover",0,1992,"\N",107,"Action,Crime,Thriller",6.9,10969
"33","tt0104815","movie","el-mariachi","el-mariachi",0,1992,"\N",81,"Action,Crime,Thriller",6.9,66141
"34","tt0105236","movie","reservoir-dogs","reservoir-dogs",0,1992,"\N",99,"Crime,Drama,Thriller",8.3,976843
"35","tt0106303","movie","arctic-blue","arctic-blue",0,1993,"\N",95,"Action,Thriller",5.1,1038
"36","tt0106308","movie","army-of-darkness","army-of-darkness",0,1992,"\N",81,"Comedy,Horror",7.5,171775
"37","tt0106582","movie","cliffhanger","cliffhanger",0,1993,"\N",113,"Action,Adventure,Thriller",6.5,126856
"38","tt0106834","movie","even-cowgirls-get-the-blues","even-cowgirls-get-the-blues",0,1993,"\N",106,"Comedy,Drama,Romance",4.4,7391
"39","tt0107290","movie","jurassic-park","jurassic-park",0,1993,"\N",127,"Action,Adventure,Sci-Fi",8.1,929843
"40","tt0108160","movie","sleepless-in-seattle","sleepless-in-seattle",0,1993,"\N",105,"Comedy,Drama,Romance",6.8,171039
"41","tt0108358","movie","tombstone","tombstone",0,1993,"\N",130,"Action,Biography,Drama",7.8,140300
"42","tt0108399","movie","true-romance","true-romance",0,1993,"\N",119,"Crime,Drama,Romance",7.9,220440
"43","tt0109836","movie","mary-shelley's-frankenstein","frankenstein",0,1994,"\N",123,"Drama,Horror,Romance",6.4,54204
"44","tt0110005","movie","heavenly-creatures","heavenly-creatures",0,1994,"\N",99,"Biography,Crime,Drama",7.3,62717
"45","tt0110632","movie","natural-born-killers","natural-born-killers",0,1994,"\N",118,"Action,Crime,Drama",7.3,228275
"46","tt0110912","movie","pulp-fiction","pulp-fiction",0,1994,"\N",154,"Crime,Drama",8.9,1952890
"47","tt0111503","movie","true-lies","true-lies",0,1994,"\N",141,"Action,Comedy,Thriller",7.2,251231
"48","tt0112401","movie","assassins","assassins",0,1995,"\N",133,"Action,Crime,Thriller",6.3,81540
"49","tt0112442","movie","bad-boys","bad-boys",0,1995,"\N",119,"Action,Comedy,Crime",6.9,255953
"50","tt0112697","movie","clueless","clueless",0,1995,"\N",97,"Comedy,Romance",6.9,204326
"51","tt0113243","movie","hackers","hackers",0,1995,"\N",105,"Crime,Drama,Romance",6.3,68526
"52","tt0113277","movie","heat","heat",0,1995,"\N",170,"Action,Crime,Drama",8.2,623596
"53","tt0113492","movie","judge-dredd","judge-dredd",0,1995,"\N",96,"Action,Crime,Sci-Fi",5.6,115924
"54","tt0113627","movie","leaving-las-vegas","leaving-las-vegas",0,1995,"\N",111,"Drama,Romance",7.5,120898
"55","tt0114558","movie","strange-days","strange-days",0,1995,"\N",145,"Crime,Drama,Sci-Fi",7.2,70513
"56","tt0115759","movie","broken-arrow","broken-arrow",0,1996,"\N",108,"Action,Adventure,Thriller",6.1,96385
"57","tt0116629","movie","independence-day","independence-day",0,1996,"\N",145,"Action,Adventure,Sci-Fi",7,556776
"58","tt0116695","movie","jerry-maguire","jerry-maguire",0,1996,"\N",139,"Comedy,Drama,Romance",7.3,256917
"59","tt0118548","movie","absolute-power","absolute-power",0,1997,"\N",121,"Action,Crime,Drama",6.7,53664
"60","tt0118571","movie","air-force-one","air-force-one",0,1997,"\N",124,"Action,Drama,Thriller",6.5,190842
"61","tt0118956","movie","deep-rising","deep-rising",0,1998,"\N",106,"Action,Adventure,Horror",6.1,36248
"62","tt0119381","movie","inventing-the-abbotts","inventing-the-abbotts",0,1997,"\N",110,"Drama,Romance",6.4,12573
"63","tt0119643","movie","meet-joe-black","meet-joe-black",0,1998,"\N",178,"Drama,Fantasy,Romance",7.2,231058
"64","tt0119654","movie","men-in-black","men-in-black",0,1997,"\N",98,"Action,Adventure,Comedy",7.3,546721
"65","tt0119664","movie","metro","metro",0,1997,"\N",117,"Action,Comedy,Crime",5.5,27208
"66","tt0119822","movie","as-good-as-it-gets","as-good-as-it-gets",0,1997,"\N",139,"Comedy,Drama,Romance",7.7,291728
"67","tt0120188","movie","three-kings","three-kings",0,1999,"\N",114,"Action,Adventure,Comedy",7.1,168033
"68","tt0120201","movie","starship-troopers","starship-troopers",0,1997,"\N",129,"Action,Adventure,Sci-Fi",7.2,284491
"69","tt0120338","movie","titanic","titanic",0,1997,"\N",194,"Drama,Romance",7.8,1118405
"70","tt0120347","movie","tomorrow-never-dies","tomorrow-never-dies",0,1997,"\N",119,"Action,Adventure,Thriller",6.5,190734
"71","tt0120591","movie","armageddon","armageddon",0,1998,"\N",151,"Action,Adventure,Sci-Fi",6.7,414499
"72","tt0120611","movie","blade","blade",0,1998,"\N",120,"Action,Horror,Sci-Fi",7.1,262516
"73","tt0120660","movie","enemy-of-the-state","enemy-of-the-state",0,1998,"\N",132,"Action,Thriller",7.3,238156
"74","tt0120667","movie","fantastic-four","fantastic-four",0,2005,"\N",106,"Action,Adventure,Fantasy",5.7,322715
"75","tt0120696","movie","hard-rain","hard-rain",0,1998,"\N",97,"Action,Crime,Drama",5.9,34927
"76","tt0120780","movie","out-of-sight","out-of-sight",0,1998,"\N",123,"Comedy,Crime,Drama",7,90667
"77","tt0120804","movie","resident-evil","resident-evil",0,2002,"\N",100,"Action,Horror,Sci-Fi",6.7,262459
"78","tt0120812","movie","rush-hour","rush-hour",0,1998,"\N",98,"Action,Comedy,Crime",7,257190
"79","tt0120815","movie","saving-private-ryan","saving-private-ryan",0,1998,"\N",169,"Drama,War",8.6,1323836
"80","tt0120891","movie","wild-wild-west","wild-wild-west",0,1999,"\N",106,"Action,Comedy,Sci-Fi",4.9,158547
"81","tt0120903","movie","x-men","x-men",0,2000,"\N",104,"Action,Adventure,Sci-Fi",7.4,596683
"82","tt0125439","movie","notting-hill","notting-hill",0,1999,"\N",124,"Comedy,Drama,Romance",7.1,298222
"83","tt0126029","movie","shrek","shrek",0,2001,"\N",90,"Adventure,Animation,Comedy",7.9,650135
"84","tt0137494","movie","entrapment","entrapment",0,1999,"\N",113,"Action,Crime,Romance",6.3,113457
"85","tt0137523","movie","fight-club","fight-club",0,1999,"\N",139,"Drama",8.8,1996157
"86","tt0139134","movie","cruel-intentions","cruel-intentions",0,1999,"\N",97,"Drama,Romance",6.8,187860
"87","tt0139414","movie","lake-placid","lake-placid",0,1999,"\N",82,"Action,Comedy,Horror",5.7,59685
"88","tt0139654","movie","training-day","training-day",0,2001,"\N",122,"Crime,Drama,Thriller",7.7,417866
"89","tt0145487","movie","spider-man","spider-man",0,2002,"\N",121,"Action,Adventure,Sci-Fi",7.3,777591
"90","tt0146882","movie","high-fidelity","high-fidelity",0,2000,"\N",113,"Comedy,Drama,Music",7.5,176077
"91","tt0151738","movie","never-been-kissed","never-been-kissed",0,1999,"\N",107,"Comedy,Drama,Romance",6.1,88575
"92","tt0167190","movie","hellboy","hellboy",0,2004,"\N",122,"Action,Adventure,Fantasy",6.8,319844
"93","tt0167456","movie","thunderbirds","thunderbirds",0,2004,"\N",95,"Action,Adventure,Comedy",4.3,13757
"94","tt0172495","movie","gladiator","gladiator",0,2000,"\N",155,"Action,Adventure,Drama",8.5,1431491
"95","tt0181689","movie","minority-report","minority-report",0,2002,"\N",145,"Action,Crime,Mystery",7.6,534905
"96","tt0184858","movie","reindeer-games","reindeer-games",0,2000,"\N",104,"Action,Adventure,Crime",5.8,39480
"97","tt0187738","movie","blade-ii","blade-ii",0,2002,"\N",117,"Action,Horror,Sci-Fi",6.7,211298
"98","tt0196158","movie","ticker","ticker",0,2001,"\N",92,"Action,Crime,Thriller",3.6,7369
"99","tt0206275","movie","save-the-last-dance","save-the-last-dance",0,2001,"\N",112,"Drama,Music,Romance",6.2,60529
"100","tt0208988","movie","get-carter","get-carter",0,2000,"\N",102,"Action,Crime,Drama",5.2,34125
"101","tt0213149","movie","pearl-harbor","pearl-harbor",0,2001,"\N",183,"Action,Drama,History",6.2,324759
"102","tt0259324","movie","ghost-rider","ghost-rider",0,2007,"\N",110,"Action,Fantasy,Thriller",5.3,232821
"103","tt0266915","movie","rush-hour-2","rush-hour-2",0,2001,"\N",90,"Action,Comedy,Crime",6.6,212308
"104","tt0272338","movie","punch-drunk-love","punch-drunk-love",0,2002,"\N",95,"Comedy,Drama,Romance",7.3,158992
"105","tt0307479","movie","solaris","solaris",0,2002,"\N",99,"Drama,Mystery,Romance",6.2,81707
"106","tt0315327","movie","bruce-almighty","bruce-almighty",0,2003,"\N",101,"Comedy,Fantasy",6.8,390454
"107","tt0327554","movie","catwoman","catwoman",0,2004,"\N",104,"Action,Crime,Fantasy",3.4,116558
"108","tt0333766","movie","garden-state","garden-state",0,2004,"\N",102,"Comedy,Drama,Romance",7.4,213622
"109","tt0340163","movie","hostage","hostage",0,2005,"\N",113,"Action,Crime,Drama",6.5,109527
"110","tt0351977","movie","walking-tall","walking-tall",0,2004,"\N",86,"Action,Crime",6.3,74713
"111","tt0360717","movie","king-kong","king-kong",0,2005,"\N",187,"Action,Adventure,Drama",7.2,412259
"112","tt0361748","movie","inglourious-basterds","inglourious-basterds",0,2009,"\N",153,"Adventure,Drama,War",8.3,1368426
"113","tt0363282","movie","new-york-minute","new-york-minute",0,2004,"\N",91,"Comedy,Crime,Family",5,23047
"114","tt0363547","movie","dawn-of-the-dead","dawn-of-the-dead",0,2004,"\N",101,"Action,Horror",7.3,249577
"115","tt0365929","movie","whiteout","whiteout",0,2009,"\N",101,"Action,Crime,Mystery",5.5,38463
"116","tt0369339","movie","collateral","collateral",0,2004,"\N",120,"Action,Crime,Drama",7.5,385649
"117","tt0375679","movie","crash","crash",0,2004,"\N",112,"Crime,Drama,Thriller",7.7,430569
"118","tt0379786","movie","serenity","serenity",0,2005,"\N",119,"Action,Adventure,Sci-Fi",7.8,291818
"119","tt0403702","movie","youth-in-revolt","youth-in-revolt",0,2009,"\N",90,"Comedy,Drama,Romance",6.4,73840
"120","tt0407304","movie","war-of-the-worlds","war-of-the-worlds",0,2005,"\N",116,"Action,Adventure,Sci-Fi",6.5,435080
"121","tt0409459","movie","watchmen","watchmen",0,2009,"\N",162,"Action,Drama,Mystery",7.6,533469
"122","tt0416658","movie","crazylove","crazylove",0,2005,"\N",95,"Comedy,Drama,Romance",6,400
"123","tt0418819","movie","land-of-the-dead","land-of-the-dead",0,2005,"\N",93,"Horror,Sci-Fi,Thriller",6.2,95385
"124","tt0426459","movie","feast","feast",0,2005,"\N",95,"Action,Comedy,Horror",6.3,31266
"125","tt0434409","movie","v-for-vendetta","v-for-vendetta",0,2005,"\N",132,"Action,Drama,Sci-Fi",8.1,1086094
"126","tt0435705","movie","next","next",0,2007,"\N",96,"Action,Sci-Fi,Thriller",6.2,155614
"127","tt0441773","movie","kung-fu-panda","kung-fu-panda",0,2008,"\N",92,"Action,Adventure,Animation",7.6,447993
"128","tt0448157","movie","hancock","hancock",0,2008,"\N",92,"Action,Drama,Fantasy",6.4,467247
"129","tt0453556","movie","tmnt","tmnt",0,2007,"\N",87,"Action,Adventure,Animation",6.2,63546
"130","tt0467197","movie","max-payne","max-payne",0,2008,"\N",100,"Action,Crime,Drama",5.3,125074
"131","tt0479884","movie","crank","crank",0,2006,"\N",88,"Action,Crime,Thriller",6.9,244573
"132","tt0480687","movie","hall-pass","hall-pass",0,2011,"\N",105,"Comedy,Romance",5.8,124108
"133","tt0493464","movie","wanted","wanted",0,2008,"\N",110,"Action,Crime,Thriller",6.7,379182
"134","tt0499549","movie","avatar","avatar",0,2009,"\N",162,"Action,Adventure,Fantasy",7.8,1177281
"135","tt0780504","movie","drive","drive",0,2011,"\N",100,"Action,Drama",7.8,608109
"136","tt0796366","movie","star-trek","star-trek",0,2009,"\N",127,"Action,Adventure,Sci-Fi",7.9,594792
"137","tt0800320","movie","clash-of-the-titans","clash-of-the-titans",0,2010,"\N",106,"Action,Adventure,Fantasy",5.8,278463
"138","tt0811080","movie","speed-racer","speed-racer",0,2008,"\N",135,"Action,Adventure,Comedy",6,72426
"139","tt0822847","movie","priest","priest",0,2011,"\N",87,"Action,Adventure,Fantasy",5.7,118689
"140","tt0831387","movie","godzilla","godzilla",0,2014,"\N",123,"Action,Adventure,Sci-Fi",6.4,403617
"141","tt0875034","movie","nine","nine",0,2009,"\N",118,"Drama,Musical,Romance",5.8,43523
"142","tt0942385","movie","tropic-thunder","tropic-thunder",0,2008,"\N",107,"Action,Comedy,War",7,400714
"143","tt0977855","movie","fair-game","fair-game",0,2010,"\N",108,"Biography,Drama,Thriller",6.8,48505
"144","tt0988045","movie","sherlock-holmes","sherlock-holmes",0,2009,"\N",128,"Action,Adventure,Mystery",7.6,613020
"145","tt0993842","movie","hanna","hanna",0,2011,"\N",111,"Action,Adventure,Drama",6.8,196414
"146","tt1010048","movie","slumdog-millionaire","slumdog-millionaire",0,2008,"\N",120,"Drama,Romance",8,827011
"147","tt1032755","movie","rocknrolla","rocknrolla",0,2008,"\N",114,"Action,Crime,Thriller",7.3,246607
"148","tt1034032","movie","gamer","gamer",0,2009,"\N",95,"Action,Sci-Fi,Thriller",5.8,133550
"149","tt1034303","movie","defiance","defiance",0,2008,"\N",137,"Action,Drama,History",7.2,145015
"150","tt1038686","movie","legion","legion",0,2010,"\N",100,"Action,Fantasy,Horror",5.3,103563
"151","tt1045658","movie","silver-linings-playbook","silver-linings-playbook",0,2012,"\N",122,"Comedy,Drama,Romance",7.7,691519
"152","tt1045772","movie","i-love-you-phillip-morris","i-love-you-phillip-morris",0,2009,"\N",102,"Biography,Comedy,Crime",6.6,94631
"153","tt1059786","movie","eagle-eye","eagle-eye",0,2008,"\N",118,"Action,Mystery,Thriller",6.6,184146
"154","tt1065073","movie","boyhood","boyhood",0,2014,"\N",165,"Drama",7.9,348044
"155","tt1100089","movie","foxcatcher","foxcatcher",0,2014,"\N",134,"Biography,Drama,History",7,140211
"156","tt1186367","movie","ninja-assassin","ninja-assassin",0,2009,"\N",99,"Action,Thriller",6.3,71193
"157","tt1188729","movie","pandorum","pandorum",0,2009,"\N",108,"Action,Horror,Mystery",6.7,148850
"158","tt1193138","movie","up-in-the-air","up-in-the-air",0,2009,"\N",109,"Comedy,Drama,Romance",7.4,329685
"159","tt1229822","movie","jane-eyre","jane-eyre",0,2011,"\N",120,"Drama,Romance",7.3,86126
"160","tt1276104","movie","looper","looper",0,2012,"\N",113,"Action,Drama,Sci-Fi",7.4,560692
"161","tt1282140","movie","easy-a","easy-a",0,2010,"\N",92,"Comedy,Drama,Romance",7,379220
"162","tt1291584","movie","warrior","warrior",0,2011,"\N",140,"Action,Drama,Sport",8.1,457145
"163","tt1318514","movie","rise-of-the-planet-of-the-apes","rise-of-the-planet-of-the-apes",0,2011,"\N",105,"Action,Drama,Sci-Fi",7.5,514551
"164","tt1375666","movie","inception","inception",0,2010,"\N",148,"Action,Adventure,Sci-Fi",8.8,2228680
"165","tt1403981","movie","remember-me","remember-me",0,2010,"\N",113,"Drama,Romance",7.1,143812
"166","tt1409024","movie","men-in-black-3","men-in-black-3",0,2012,"\N",106,"Action,Adventure,Comedy",6.8,351883
"167","tt1431045","movie","deadpool","deadpool",0,2016,"\N",108,"Action,Adventure,Comedy",8,976388
"168","tt1464540","movie","i-am-number-four","i-am-number-four",0,2011,"\N",111,"Action,Adventure,Sci-Fi",6.1,234569
"169","tt1483013","movie","oblivion","oblivion",0,2013,"\N",124,"Action,Adventure,Sci-Fi",7,508748
"170","tt1502404","movie","drive-angry","drive-angry",0,2011,"\N",104,"Action,Fantasy,Thriller",5.4,97585
"171","tt1622547","movie","30-minutes-or-less","30-minutes-or-less",0,2011,"\N",83,"Action,Comedy,Crime",6.1,98712
"172","tt1646971","movie","how-to-train-your-dragon-2","how-to-train-your-dragon-2",0,2014,"\N",102,"Action,Adventure,Animation",7.8,322867
"173","tt1657507","movie","colombiana","colombiana",0,2011,"\N",108,"Action,Drama,Thriller",6.4,99506
"174","tt1735898","movie","snow-white-and-the-huntsman","snow-white-and-the-huntsman",0,2012,"\N",127,"Action,Adventure,Drama",6.1,283948
"175","tt1748122","movie","moonrise-kingdom","moonrise-kingdom",0,2012,"\N",94,"Comedy,Drama,Romance",7.8,339378
"176","tt1800241","movie","american-hustle","american-hustle",0,2013,"\N",138,"Crime,Drama",7.2,468433
"177","tt1979320","movie","rush","rush",0,2013,"\N",123,"Action,Biography,Drama",8.1,462001
"178","tt2179136","movie","american-sniper","american-sniper",0,2014,"\N",133,"Action,Biography,Drama",7.3,467302
"179","tt2180411","movie","into-the-woods","into-the-woods",0,2014,"\N",125,"Adventure,Comedy,Drama",5.9,138473
"180","tt2267998","movie","gone-girl","gone-girl",0,2014,"\N",149,"Drama,Mystery,Thriller",8.1,933697
"181","tt2294629","movie","frozen","frozen",0,2013,"\N",102,"Adventure,Animation,Comedy",7.4,603510
"182","tt2305051","movie","wild","wild",0,2014,"\N",115,"Adventure,Biography,Drama",7.1,126705
"183","tt2350892","movie","bad-country","bad-country",0,2014,"\N",95,"Action,Crime,Drama",5.8,8443
"184","tt2404181","movie","belle","belle",0,2013,"\N",100,"Biography,Drama,Romance",7.3,29877
"185","tt2582802","movie","whiplash","whiplash",0,2014,"\N",106,"Drama,Music",8.5,788481
"186","tt2930144","movie","judge","judge",0,2013,"\N",76,"Mystery,Thriller",5.3,155
"187","tt2937898","movie","a-most-violent-year","a-most-violent-year",0,2014,"\N",125,"Action,Crime,Drama",7,70542
"188","tt3316960","movie","still-alice","still-alice",0,2014,"\N",101,"Drama",7.5,132155
"189","tt3569230","movie","legend","legend",0,2015,"\N",132,"Biography,Crime,Drama",6.9,171911
